name,tensor_type,input_size,forward_avg,forward_avg_rel,backward_avg,backward_avg_rel,forward_gb_avg,forward_gb_avg_rel,backward_gb_avg,backward_gb_avg_rel
benchmark_2048x1,TensorType.WEIGHTS,"[2048, 128256]",2.97,,4.01,,1.98,,3.43,
benchmark_2048x62,TensorType.WEIGHTS,"[2048, 128256]",2.79,,7.18,,1.98,,3.43,
cuda_507d96,TensorType.ACTIVATIONS,"[128, 2048]",1.04,,0.96,,0.0,,0.0,
cuda_507d96,TensorType.ACTIVATIONS,"[2048, 128256]",4.75,,41.4,,1.97,,2.46,
cuda_507d96,TensorType.WEIGHTS,"[128, 2048]",0.93,,0.9,,0.0,,0.0,
cuda_507d96,TensorType.WEIGHTS,"[2048, 128256]",4.64,,6.25,,1.97,,2.45,
triton_1,TensorType.ACTIVATIONS,"[128, 2048]",1.95,-86%,1.88,-96%,0.0,-0%,0.0,-38%
triton_1,TensorType.WEIGHTS,"[128, 2048]",1.95,-109%,1.88,-107%,0.0,-13%,0.0,-40%
triton_10,TensorType.ACTIVATIONS,"[128, 2048]",1.63,-56%,1.44,-50%,0.0,-0%,0.0,-38%
triton_10,TensorType.ACTIVATIONS,"[2048, 128256]",2.93,38%,7.12,83%,1.98,-0%,3.43,-40%
triton_10,TensorType.WEIGHTS,"[128, 2048]",1.55,-66%,1.4,-55%,0.0,-13%,0.0,-40%
triton_10,TensorType.WEIGHTS,"[2048, 128256]",2.86,38%,7.2,-15%,1.98,-0%,3.43,-40%
triton_11,TensorType.ACTIVATIONS,"[128, 2048]",1.65,-58%,1.5,-57%,0.0,-13%,0.0,-38%
triton_11,TensorType.ACTIVATIONS,"[2048, 128256]",3.02,36%,45.81,-11%,1.98,-0%,3.43,-40%
triton_11,TensorType.WEIGHTS,"[128, 2048]",1.62,-74%,1.47,-62%,0.0,-13%,0.0,-40%
triton_11,TensorType.WEIGHTS,"[2048, 128256]",3.13,33%,7.26,-16%,1.98,-0%,3.43,-40%
triton_12,TensorType.ACTIVATIONS,"[128, 2048]",1.7,-63%,1.5,-57%,0.0,-13%,0.0,-38%
triton_12,TensorType.ACTIVATIONS,"[2048, 128256]",2.94,38%,7.56,82%,1.98,-0%,3.43,-40%
triton_12,TensorType.WEIGHTS,"[128, 2048]",1.68,-79%,1.44,-59%,0.0,-13%,0.0,-40%
triton_12,TensorType.WEIGHTS,"[2048, 128256]",3.03,35%,7.21,-15%,1.98,-0%,3.43,-40%
triton_2,TensorType.ACTIVATIONS,"[128, 2048]",1.85,-77%,1.86,-94%,0.0,-0%,0.0,-38%
triton_2,TensorType.ACTIVATIONS,"[2048, 128256]",3.16,34%,7.56,82%,1.98,-0%,3.43,-40%
triton_2,TensorType.WEIGHTS,"[128, 2048]",1.83,-96%,1.85,-104%,0.0,-13%,0.0,-40%
triton_2,TensorType.WEIGHTS,"[2048, 128256]",3.34,28%,7.56,-21%,1.98,-0%,3.43,-40%
triton_3,TensorType.WEIGHTS,"[2048, 128256]",3.08,34%,7.5,-20%,1.98,-0%,3.43,-40%
triton_4,TensorType.ACTIVATIONS,"[128, 2048]",1.9,-82%,1.89,-97%,0.0,-13%,0.0,-38%
triton_4,TensorType.ACTIVATIONS,"[2048, 128256]",3.39,29%,4.38,89%,1.98,-0%,3.43,-40%
triton_4,TensorType.WEIGHTS,"[128, 2048]",1.54,-65%,1.43,-58%,0.0,-13%,0.0,-40%
triton_4,TensorType.WEIGHTS,"[2048, 128256]",2.8,40%,3.96,37%,1.98,-0%,3.43,-40%
triton_4,TensorType.WEIGHTS,"[2048, 128256]",3.31,29%,3.98,36%,1.98,-0%,3.43,-40%
triton_5,TensorType.ACTIVATIONS,"[128, 2048]",1.53,-46%,1.4,-46%,0.0,-0%,0.0,-38%
triton_5,TensorType.ACTIVATIONS,"[128, 2048]",1.62,-55%,1.45,-51%,0.0,-0%,0.0,-38%
triton_5,TensorType.ACTIVATIONS,"[2048, 128256]",2.92,38%,7.11,83%,1.98,-0%,3.43,-40%
triton_5,TensorType.ACTIVATIONS,"[2048, 128256]",3.04,36%,7.14,83%,1.98,-0%,3.43,-40%
triton_5,TensorType.WEIGHTS,"[128, 2048]",1.5,-61%,1.4,-55%,0.0,-13%,0.0,-40%
triton_5,TensorType.WEIGHTS,"[128, 2048]",1.61,-72%,1.45,-60%,0.0,-13%,0.0,-40%
triton_5,TensorType.WEIGHTS,"[2048, 128256]",2.81,40%,7.13,-14%,1.98,-0%,3.43,-40%
triton_5,TensorType.WEIGHTS,"[2048, 128256]",2.94,37%,7.3,-17%,1.98,-0%,3.43,-40%
triton_6,TensorType.ACTIVATIONS,"[128, 2048]",1.9,-82%,1.89,-98%,0.0,-0%,0.0,-38%
triton_6,TensorType.ACTIVATIONS,"[2048, 128256]",3.16,33%,9.22,78%,1.98,-0%,3.43,-40%
triton_6,TensorType.WEIGHTS,"[128, 2048]",1.83,-96%,1.87,-106%,0.0,-13%,0.0,-40%
triton_6,TensorType.WEIGHTS,"[2048, 128256]",3.3,29%,7.18,-15%,1.98,-0%,3.43,-40%
triton_7,TensorType.ACTIVATIONS,"[128, 2048]",1.67,-60%,1.46,-52%,0.0,-0%,0.0,-38%
triton_7,TensorType.ACTIVATIONS,"[2048, 128256]",2.83,40%,7.11,83%,1.98,-0%,3.43,-40%
triton_7,TensorType.WEIGHTS,"[128, 2048]",1.65,-77%,1.46,-62%,0.0,-13%,0.0,-40%
triton_7,TensorType.WEIGHTS,"[2048, 128256]",2.76,41%,4.37,30%,1.98,-0%,3.43,-40%
triton_8,TensorType.ACTIVATIONS,"[128, 2048]",1.66,-59%,1.49,-56%,0.0,-0%,0.0,-38%
triton_8,TensorType.ACTIVATIONS,"[2048, 128256]",3.31,30%,4.38,89%,1.98,-0%,3.43,-40%
triton_8,TensorType.WEIGHTS,"[128, 2048]",1.56,-67%,1.45,-60%,0.0,-13%,0.0,-40%
triton_8,TensorType.WEIGHTS,"[2048, 128256]",3.32,29%,4.04,35%,1.98,-0%,3.43,-40%
triton_9,TensorType.ACTIVATIONS,"[128, 2048]",1.49,-43%,1.39,-45%,0.0,-0%,0.0,-38%
triton_9,TensorType.ACTIVATIONS,"[2048, 128256]",2.84,40%,4.37,89%,1.98,-0%,3.43,-40%
triton_9,TensorType.WEIGHTS,"[128, 2048]",1.44,-54%,1.39,-54%,0.0,-13%,0.0,-40%
triton_9,TensorType.WEIGHTS,"[2048, 128256]",2.75,41%,4.0,36%,1.98,-0%,3.43,-40%
triton_a97638,TensorType.WEIGHTS,"[2048, 128256]",2.99,36%,7.53,-20%,1.98,-0%,3.43,-40%
