name,tensor_type,input_size,forward_avg,forward_avg_impr,backward_avg,backward_avg_impr,forward_mb_avg,forward_mb_avg_impr,backward_mb_avg,backward_mb_avg_impr
2048x1,TensorType.WEIGHTS,"[2048, 128256]",2.97,,4.01,,1.9757,,3.4317,
2048x62,TensorType.WEIGHTS,"[2048, 128256]",2.79,,7.18,,1.9757,,3.4317,
compile_02b9d9,TensorType.ACTIVATIONS,"[128, 2048]",1.7,,1.83,,0.002,,0.0044,
compile_02b9d9,TensorType.ACTIVATIONS,"[128, 96, 64, 64]",1.67,,2.82,,0.3797,,0.8445,
compile_02b9d9,TensorType.ACTIVATIONS,"[2, 96, 64, 64]",1.76,,1.87,,0.0059,,0.0144,
compile_02b9d9,TensorType.ACTIVATIONS,"[2048, 128256]",2.09,,11.38,,1.9883,,4.414,
compile_02b9d9,TensorType.WEIGHTS,"[128, 2048]",1.67,,1.81,,0.002,,0.0044,
compile_02b9d9,TensorType.WEIGHTS,"[128, 96, 64, 64]",1.75,,2.82,,0.3797,,0.8448,
compile_02b9d9,TensorType.WEIGHTS,"[2, 96, 64, 64]",1.72,,1.86,,0.0059,,0.0137,
compile_02b9d9,TensorType.WEIGHTS,"[2048, 128256]",1.85,,11.35,,1.9855,,4.4122,
cuda_507d96,TensorType.ACTIVATIONS,"[128, 2048]",1.04,,0.96,,0.002,,0.0025,
cuda_507d96,TensorType.ACTIVATIONS,"[128, 96, 64, 64]",1.67,,2.04,,0.376,,0.4688,
cuda_507d96,TensorType.ACTIVATIONS,"[2, 96, 64, 64]",0.95,,0.9,,0.0059,,0.0073,
cuda_507d96,TensorType.ACTIVATIONS,"[2048, 128256]",4.75,,41.4,,1.9688,,2.4551,
cuda_507d96,TensorType.ACTIVATIONS,"[2048, 4096]",0.7,,1.27,,0.0628,,0.0783,
cuda_507d96,TensorType.WEIGHTS,"[128, 2048]",0.93,,0.9,,0.002,,0.0024,
cuda_507d96,TensorType.WEIGHTS,"[128, 96, 64, 64]",1.36,,1.68,,0.376,,0.4688,
cuda_507d96,TensorType.WEIGHTS,"[2, 96, 64, 64]",0.83,,0.86,,0.0059,,0.0073,
cuda_507d96,TensorType.WEIGHTS,"[2048, 128256]",4.64,,6.25,,1.9659,,2.4513,
cuda_507d96,TensorType.WEIGHTS,"[2048, 4096]",1.1,,0.87,,0.0627,,0.0782,
triton_10_c1b9ff_slow_but_accurate_weight,TensorType.ACTIVATIONS,"[128, 2048]",1.63,-56%,1.44,-50%,0.002,-0%,0.0035,-38%
triton_10_c1b9ff_slow_but_accurate_weight,TensorType.ACTIVATIONS,"[2048, 128256]",2.93,38%,7.12,83%,1.9786,-0%,3.4334,-40%
triton_10_c1b9ff_slow_but_accurate_weight,TensorType.WEIGHTS,"[128, 2048]",1.55,-66%,1.4,-55%,0.0022,-13%,0.0034,-40%
triton_10_c1b9ff_slow_but_accurate_weight,TensorType.WEIGHTS,"[2048, 128256]",2.86,38%,7.2,-15%,1.9757,-0%,3.4317,-40%
